City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.08,-159.32,298.15,73,75,7.2,US,2020-08-02 17:07:52
1,Hami,42.8,93.45,302.95,13,61,3.46,CN,2020-08-02 17:07:52
2,Castro,-24.79,-50.01,293.22,49,2,2.82,BR,2020-08-02 17:07:52
3,Kismayo,-0.36,42.55,298.52,76,7,8.12,SO,2020-08-02 17:07:53
4,Rocha,-34.48,-54.33,291.58,81,100,2.63,UY,2020-08-02 17:07:53
5,Albany,42.6,-73.97,300.37,66,65,5.39,US,2020-08-02 17:06:46
6,Ushuaia,-54.8,-68.3,279.15,70,40,8.7,AR,2020-08-02 17:03:43
7,Moindou,-21.69,165.68,287.15,93,20,2.64,NC,2020-08-02 17:07:54
8,Kaitangata,-46.28,169.85,283.15,85,80,1.79,NZ,2020-08-02 17:07:54
9,Isangel,-19.55,169.27,292.34,69,5,5.39,VU,2020-08-02 17:07:55
10,Lebu,-37.62,-73.65,286.69,82,45,3.32,CL,2020-08-02 17:07:13
11,Sorland,67.67,12.69,289.15,77,100,4.6,NO,2020-08-02 17:07:55
12,Bredasdorp,-34.53,20.04,290.15,72,0,3.6,ZA,2020-08-02 17:07:00
13,Tromso,69.65,18.96,289.15,59,20,4.1,NO,2020-08-02 17:06:25
14,Liverpool,53.41,-2.98,292.04,52,20,5.1,GB,2020-08-02 17:06:50
15,Juan Lacaze,-34.43,-57.44,296.48,77,92,2.6,UY,2020-08-02 17:07:57
16,Tuktoyaktuk,69.45,-133.04,283.15,71,90,8.2,CA,2020-08-02 17:06:44
17,Kruisfontein,-34.0,24.73,295.37,28,0,4.64,ZA,2020-08-02 17:07:58
18,Upernavik,72.79,-56.15,279.48,64,80,3.78,GL,2020-08-02 17:07:58
19,Mataura,-46.19,168.86,281.67,95,70,0.99,NZ,2020-08-02 17:06:53
20,Mehamn,71.04,27.85,283.15,87,75,4.1,NO,2020-08-02 17:03:04
21,Klaksvik,62.23,-6.59,283.15,100,42,2.6,FO,2020-08-02 17:07:59
22,Lompoc,34.64,-120.46,287.15,87,0,3.24,US,2020-08-02 17:07:59
23,Sur,22.57,59.53,302.53,68,1,4.83,OM,2020-08-02 17:07:59
24,Jamestown,42.1,-79.24,297.59,78,90,7.2,US,2020-08-02 17:04:41
25,Hobart,-42.88,147.33,282.59,75,40,4.1,AU,2020-08-02 17:05:29
26,Sembe,1.65,14.58,298.54,75,46,1.13,CG,2020-08-02 17:08:00
27,Dingle,11.0,122.67,298.16,83,100,2.1,PH,2020-08-02 17:08:00
28,Luderitz,-26.65,15.16,301.15,14,0,3.1,NA,2020-08-02 17:06:05
29,Aktau,43.65,51.2,302.15,25,0,3.0,KZ,2020-08-02 17:08:01
30,Kapoeta,4.77,33.59,299.69,53,9,3.16,SS,2020-08-02 17:08:01
31,Moctezuma,29.8,-109.67,304.25,47,81,0.57,MX,2020-08-02 17:08:01
32,Kita,13.03,-9.49,301.85,78,82,2.63,ML,2020-08-02 17:08:02
33,Bluff,-46.6,168.33,281.28,93,73,2.57,NZ,2020-08-02 17:08:02
34,Okhotsk,59.38,143.3,284.52,77,3,0.67,RU,2020-08-02 17:08:02
35,Ponta Do Sol,32.67,-17.1,298.15,65,20,8.7,PT,2020-08-02 17:08:02
36,Yellowknife,62.46,-114.35,298.15,68,40,6.2,CA,2020-08-02 17:08:03
37,Rikitea,-23.12,-134.97,295.83,75,49,5.32,PF,2020-08-02 17:08:03
38,Lumatil,5.87,124.89,298.54,84,100,0.89,PH,2020-08-02 17:08:03
39,Atuona,-9.8,-139.03,298.97,75,4,7.54,PF,2020-08-02 17:08:03
40,Carnarvon,-24.87,113.63,290.15,77,0,6.7,AU,2020-08-02 17:08:04
41,Cidreira,-30.18,-50.21,292.6,60,72,3.81,BR,2020-08-02 17:08:04
42,Paamiut,61.99,-49.67,280.47,97,100,7.71,GL,2020-08-02 17:08:04
43,Bure,10.7,37.07,287.24,93,68,1.73,ET,2020-08-02 17:08:05
44,Karratha,-20.74,116.85,294.03,66,14,3.76,AU,2020-08-02 17:08:05
45,Ewa Beach,21.32,-158.01,299.15,78,40,1.5,US,2020-08-02 17:08:06
46,Port Alfred,-33.59,26.89,294.61,36,0,3.8,ZA,2020-08-02 17:08:06
47,Vaini,-21.2,-175.2,295.15,88,75,3.6,TO,2020-08-02 17:08:06
48,Pevek,69.7,170.31,275.56,86,98,0.79,RU,2020-08-02 17:07:20
49,Zhigansk,66.77,123.37,286.06,62,59,4.95,RU,2020-08-02 17:08:07
50,Dagda,56.1,27.54,289.97,70,82,1.32,LV,2020-08-02 17:08:07
51,Victoria,22.29,114.16,299.26,94,100,5.36,HK,2020-08-02 17:05:55
52,Punta Arenas,-53.15,-70.92,279.82,70,41,9.3,CL,2020-08-02 17:08:08
53,Tiksi,71.69,128.87,278.64,92,87,2.29,RU,2020-08-02 17:08:08
54,Barrow,71.29,-156.79,276.15,86,90,5.7,US,2020-08-02 17:08:08
55,Barabai,-2.58,115.38,296.76,94,74,0.51,ID,2020-08-02 17:08:09
56,Beidao,34.57,105.89,294.51,76,24,1.32,CN,2020-08-02 17:05:07
57,Atlantis,-33.57,18.48,289.82,85,0,1.73,ZA,2020-08-02 17:08:09
58,Hurghada,27.26,33.81,308.15,39,0,1.5,EG,2020-08-02 17:08:09
59,Butaritari,3.07,172.79,301.02,75,37,7.69,KI,2020-08-02 17:06:40
60,Georgetown,5.41,100.34,302.15,83,20,2.1,MY,2020-08-02 17:06:49
61,Airai,-8.93,125.41,284.78,100,61,0.89,TL,2020-08-02 17:08:10
62,Puerto Ayora,-0.74,-90.35,295.15,83,75,7.7,EC,2020-08-02 17:08:10
63,Mantua,45.17,10.78,303.15,59,0,1.79,IT,2020-08-02 17:08:10
64,Dongli,23.57,116.82,301.15,83,75,3.0,CN,2020-08-02 17:08:11
65,Yekimovichi,54.11,33.3,288.3,84,11,2.06,RU,2020-08-02 17:08:11
66,Baruun-Urt,46.68,113.28,287.58,83,54,4.23,MN,2020-08-02 17:08:11
67,Kangalassy,62.35,129.96,288.15,87,28,0.53,RU,2020-08-02 17:08:11
68,Muros,42.78,-9.06,296.48,58,83,4.92,ES,2020-08-02 17:08:12
69,Bairiki,1.33,172.98,300.15,78,20,3.1,KI,2020-08-02 17:08:12
70,Tasiilaq,65.61,-37.64,285.15,34,18,5.7,GL,2020-08-02 17:08:12
71,Tombouctou,20.0,-3.0,314.89,17,0,2.53,ML,2020-08-02 17:08:12
72,Torbay,47.67,-52.73,289.26,100,90,6.7,CA,2020-08-02 17:08:12
73,Hermanus,-34.42,19.23,285.37,88,0,1.71,ZA,2020-08-02 17:06:45
74,Gizo,-8.1,156.84,300.49,79,10,4.56,SB,2020-08-02 17:08:13
75,Roura,4.73,-52.33,300.15,74,49,3.1,GF,2020-08-02 17:08:13
76,Provideniya,64.38,-173.3,279.38,66,94,4.67,RU,2020-08-02 17:08:14
77,Mar Del Plata,-38.0,-57.56,288.15,62,100,3.6,AR,2020-08-02 17:04:21
78,Atar,20.52,-13.05,317.36,8,0,7.69,MR,2020-08-02 17:08:14
79,Labuhan,-6.88,112.21,297.06,80,59,4.12,ID,2020-08-02 17:08:15
80,Chokurdakh,70.63,147.92,282.4,69,69,2.1,RU,2020-08-02 17:08:15
81,Saint-Philippe,-21.36,55.77,294.15,64,90,5.7,RE,2020-08-02 17:08:15
82,Arecibo,18.47,-66.72,305.37,68,56,1.79,PR,2020-08-02 17:08:16
83,Monchegorsk,67.94,32.87,284.35,73,99,2.21,RU,2020-08-02 17:08:16
84,Hamilton,39.18,-84.53,297.59,64,75,3.6,US,2020-08-02 17:04:34
85,Ahuimanu,21.44,-157.84,299.15,61,40,4.1,US,2020-08-02 17:08:17
86,Ilulissat,69.22,-51.1,281.15,75,20,2.1,GL,2020-08-02 17:08:17
87,Bengkulu,-3.8,102.27,298.27,89,49,3.27,ID,2020-08-02 17:08:17
88,Santa Maria,-29.68,-53.81,298.27,59,70,1.48,BR,2020-08-02 17:05:01
89,Yatou,37.15,122.38,296.9,95,64,4.25,CN,2020-08-02 17:08:18
90,Busselton,-33.65,115.33,280.37,98,47,4.34,AU,2020-08-02 17:06:44
